Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Vikram,Tamil,03-Jun-22,"Action, Thriller, Crime",175,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil",8.3,9.1,8.7
Love Today,Tamil,04-Nov-22,"Comedy, Drama, Romance",154,Pradeep Ranganathan,"Pradeep Ranganathan, Ivana",8,9.2,8.6
Thiruchitrambalam,Tamil,18-Aug-22,"Drama, Family, Romance",131,Mithran R. Jawahar,"Dhanush, Nithya Menen, Raashii Khanna, Prakash Raj",7.9,8.9,8.4
Diary,Tamil,26-Aug-22,"Thriller, Mystery, Crime",133,Innasi Pandiyan,"Arulnithi, Pavithra Marimuthu",7.2,8.4,7.8
Ponniyin Selvan: Part I,Tamil,30-Sep-22,"Action, Drama, History",167,Mani Ratnam,"Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi",7.5,8.6,8.05
Mahaan,Tamil,10-Feb-22,"Action, Drama, Crime",163,Karthik Subbaraj,"Vikram, Dhruv Vikram",7.7,8.8,8.25
Mudhal Nee Mudivum Nee,Tamil,21-Jan-22,"Drama, Musical, Romance",148,Darbuka Siva,"Kishen Das, Meetha Raghunath, Harish Kumar",7.9,8.5,8.2
Hey Sinamika,Tamil,03-Mar-22,"Drama, Romance",150,Brinda,"Dulquer Salmaan, Aditi Rao Hydari, Kajal Aggarwal",6.3,7.4,6.85
Gargi,Tamil,15-Jul-22,"Drama, Thriller",140,Gautham Ramachandran,"Sai Pallavi, Kaali Venkat, R.S. Shivaji",8.1,9.1,8.6
Beast,Tamil,13-Apr-22,"Action, Comedy, Thriller",155,Nelson Dilipkumar,"Vijay, Pooja Hegde, Selvaraghavan, Shine Tom Chacko",5.2,6.7,5.95
Sardar,Tamil,21-Oct-22,"Action, Drama, Thriller",166,P. S. Mithran,"Karthi, Raashi Khanna, Chunky Pandey",7.5,8.7,8.1
Kaatteri,Tamil,05-Aug-22,"Horror, Comedy",121,Deekay,"Vaibhav, Sonam Bajwa, Karunakaran",4.3,5.8,5.05
Maaran,Tamil,11-Mar-22,"Action, Thriller",130,Karthick Naren,"Dhanush, Malavika Mohanan",4.4,6.1,5.25
DSP,Tamil,02-Dec-22,"Action, Drama",144,Ponram,"Vijay Sethupathi, Anukreethy Vas",3.6,5.4,4.5
Cadaver,Tamil,12-Aug-22,"Crime, Thriller",123,Anoop Panicker,"Amala Paul, Harish Uthaman, Riythvika",6.5,7.7,7.1
Kaathu Vaakula Rendu Kadhal,Tamil,28-Apr-22,"Comedy, Drama, Romance",157,Vignesh Shivan,"Vijay Sethupathi, Nayanthara, Samantha",5.5,7.2,6.35
Gatta Kusthi,Tamil,02-Dec-22,"Action, Comedy, Drama",144,Chella Ayyavu,"Vishnu Vishal, Aishwarya Lekshmi",6.5,8.3,7.4
Etharkkum Thunindhavan,Tamil,10-Mar-22,"Action, Drama, Thriller",151,Pandiraj,"Suriya, Priyanka Arul Mohan, Sathyaraj",6.4,7.9,7.15
Yugi,Tamil,18-Nov-22,"Thriller, Drama",131,Zac Harriss,"Kathir, Narain, Anandhi",6.7,8.1,7.4
Don,Tamil,13-May-22,"Comedy, Drama",165,Cibi Chakaravarthi,"Sivakarthikeyan, Priyanka Arul Mohan, Samuthirakani",6.8,8.5,7.65
Pattathu Arasan,Tamil,25-Nov-22,"Drama, Sports",136,A. Sarkunam,"Atharvaa, Rajkiran, Ashika Ranganath",3.9,5.6,4.75
Valimai,Tamil,24-Feb-22,"Action, Crime, Thriller",178,H. Vinoth,"Ajith Kumar, Huma Qureshi, Kartikeya",6,7.3,6.65
