Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Maharaja,Tamil,14-Jun-24,"Action, Drama, Thriller",141,Nithilan Swaminathan,"Vijay Sethupathi, Anurag Kashyap, Abhirami",8.4,9.2,8.8
Meiyazhagan,Tamil,08-Mar-24,Drama,177,Santhakumar,"Karthi, Sri Divya, Rajkiran",8.4,9.1,8.75
Amaran,Tamil,26-Apr-24,"Biography, Action, War",167,Rajkumar Periyasamy,"Sivakarthikeyan, Bhuvan Arora, Rahul Bose, Aditi Shankar",8.1,8.8,8.45
The Smile Man,Tamil,24-May-24,"Crime, Drama, Thriller",122,Syam Praveen,"Sathyaraj, Anandraj, Aathmika",7.3,8.2,7.75
Captain Miller,Tamil,12-Jan-24,"Action, Adventure, Drama",157,Arun Matheswaran,"Dhanush, Priyanka Arul Mohan, Shiva Rajkumar",7.2,8,7.6
The Greatest of All Time,Tamil,11-Apr-24,"Action, Sci-Fi, Drama",183,Venkat Prabhu,"Vijay, Meenakshi Chaudhary, Prabhu Deva, Sneha, Laila",5.7,6.9,6.3
Kalvan,Tamil,04-Apr-24,"Drama, Thriller",142,PV Shankar,"GV Prakash Kumar, Ivana",5.6,6.8,6.2
Pechi,Tamil,29-Mar-24,"Horror, Mystery",110,S. Hari Uthraa,"Varalaxmi Sarathkumar, Kishore",5.5,6.7,6.1
Raayan,Tamil,13-Jun-24,"Action, Drama",145,Dhanush,"Dhanush, Kalidas Jayaram, SJ Suryah, Varalaxmi Sarathkumar",6.5,7.5,7
Black,Tamil,01-Mar-24,"Horror, Thriller",115,Karthik Venugopalan,"Vinod Kishan, Meenakshi Govindarajan",7.1,8.1,7.6
Rasavathi,Tamil,10-May-24,"Thriller, Drama",148,Santhakumar,"Arjun Das, Tanya Ravichandran",6.4,7.3,6.85
Thangalaan,Tamil,26-Jan-24,"Action, Drama, History",156,Pa. Ranjith,"Vikram, Malavika Mohanan, Parvathy Thiruvothu",6.5,7.5,7
Ayalaan,Tamil,12-Jan-24,"Sci-Fi, Comedy, Adventure",155,R. Ravikumar,"Sivakarthikeyan, Rakul Preet Singh, Isha Koppikar",5.9,6.8,6.35
Vettaiyan,Tamil,10-Apr-24,"Action, Drama",163,T. J. Gnanavel,"Rajinikanth, Amitabh Bachchan, Fahadh Faasil",6.9,8.2,7.55
Viduthalai Part 2,Tamil,28-Jun-24,"Crime, Thriller, Drama",170,Vetrimaaran,"Soori, Vijay Sethupathi",7.8,8.4,8.1
